RUN	RecordedSimulation	recordedsimulation	1588360311597	 	3.3.1
REQUEST	11		request_4	1588360380664	1588360380714	OK	 
REQUEST	12		solid.css	1588360380556	1588360380757	OK	 
REQUEST	11		request_4 Redirect 1	1588360380715	1588360380781	OK	 
REQUEST	11		request_5	1588360380782	1588360380809	OK	 
REQUEST	11		solid.css	1588360380782	1588360380831	OK	 
REQUEST	11		bootstrap.min.css	1588360380782	1588360380971	OK	 
USER	RecordedSimulation	11	END	1588360324523	1588360380972
REQUEST	13		request_3	1588360380903	1588360381091	OK	 
REQUEST	34		request_1	1588360380626	1588360381135	OK	 
REQUEST	18		request_2	1588360381114	1588360381136	OK	 
REQUEST	13		request_3 Redirect 1	1588360381091	1588360381151	OK	 
REQUEST	13		bootstrap.min.css	1588360381151	1588360381289	OK	 
REQUEST	13		solid.css	1588360381151	1588360381342	OK	 
REQUEST	12		request_4	1588360381768	1588360381824	OK	 
REQUEST	35		request_1	1588360381623	1588360381882	OK	 
REQUEST	12		request_4 Redirect 1	1588360381824	1588360381889	OK	 
REQUEST	12		request_5	1588360381890	1588360381916	OK	 
REQUEST	12		solid.css	1588360381890	1588360381938	OK	 
REQUEST	12		bootstrap.min.css	1588360381890	1588360382071	OK	 
USER	RecordedSimulation	12	END	1588360325529	1588360382075
REQUEST	19		request_2	1588360382106	1588360382125	OK	 
REQUEST	14		request_3	1588360382138	1588360382321	OK	 
REQUEST	14		request_3 Redirect 1	1588360382321	1588360382387	OK	 
REQUEST	13		request_4	1588360382337	1588360382390	OK	 
REQUEST	13		request_4 Redirect 1	1588360382390	1588360382453	OK	 
REQUEST	13		request_5	1588360382456	1588360382489	OK	 
REQUEST	13		solid.css	1588360382458	1588360382505	OK	 
REQUEST	14		bootstrap.min.css	1588360382388	1588360382568	OK	 
REQUEST	14		solid.css	1588360382388	1588360382580	OK	 
REQUEST	13		bootstrap.min.css	1588360382457	1588360382634	OK	 
USER	RecordedSimulation	13	END	1588360326513	1588360382636
REQUEST	20		request_2	1588360383099	1588360383123	OK	 
REQUEST	15		request_3	1588360383168	1588360383429	OK	 
REQUEST	15		request_3 Redirect 1	1588360383430	1588360383495	OK	 
REQUEST	14		request_4	1588360383587	1588360383635	OK	 
REQUEST	15		bootstrap.min.css	1588360383496	1588360383644	OK	 
REQUEST	15		solid.css	1588360383497	1588360383705	OK	 
REQUEST	14		request_4 Redirect 1	1588360383635	1588360383787	OK	 
REQUEST	14		request_5	1588360383788	1588360383816	OK	 
REQUEST	14		solid.css	1588360383788	1588360383837	OK	 
REQUEST	14		bootstrap.min.css	1588360383788	1588360383970	OK	 
USER	RecordedSimulation	14	END	1588360327528	1588360383971
REQUEST	36		request_1	1588360383634	1588360384111	OK	 
REQUEST	15		request_4	1588360384704	1588360384757	OK	 
REQUEST	15		request_4 Redirect 1	1588360384757	1588360384822	OK	 
REQUEST	15		request_5	1588360384823	1588360384852	OK	 
REQUEST	15		solid.css	1588360384824	1588360384876	OK	 
REQUEST	15		bootstrap.min.css	1588360384823	1588360385033	OK	 
USER	RecordedSimulation	15	END	1588360328516	1588360385040
REQUEST	37		request_1	1588360384625	1588360385110	OK	 
REQUEST	21		request_2	1588360385146	1588360385166	OK	 
REQUEST	16		request_3	1588360385146	1588360385701	OK	 
REQUEST	16		request_3 Redirect 1	1588360385701	1588360386031	OK	 
REQUEST	22		request_2	1588360386038	1588360386059	OK	 
REQUEST	38		request_1	1588360385616	1588360386091	OK	 
REQUEST	16		bootstrap.min.css	1588360386032	1588360386392	OK	 
REQUEST	16		solid.css	1588360386032	1588360386421	OK	 
REQUEST	17		request_3	1588360386354	1588360386999	OK	 
REQUEST	39		request_1	1588360386613	1588360387082	OK	 
REQUEST	17		request_3 Redirect 1	1588360386999	1588360387124	OK	 
REQUEST	23		request_2	1588360387123	1588360387142	OK	 
REQUEST	17		bootstrap.min.css	1588360387124	1588360387320	OK	 
REQUEST	17		solid.css	1588360387125	1588360387402	OK	 
REQUEST	18		request_3	1588360387133	1588360387405	OK	 
REQUEST	18		request_3 Redirect 1	1588360387406	1588360387497	OK	 
REQUEST	16		request_4	1588360387416	1588360387498	OK	 
REQUEST	16		request_4 Redirect 1	1588360387499	1588360387588	OK	 
REQUEST	16		request_5	1588360387591	1588360387620	OK	 
REQUEST	18		bootstrap.min.css	1588360387499	1588360387680	OK	 
REQUEST	16		solid.css	1588360387593	1588360387682	OK	 
REQUEST	18		solid.css	1588360387500	1588360387722	OK	 
REQUEST	16		bootstrap.min.css	1588360387592	1588360387816	OK	 
USER	RecordedSimulation	16	END	1588360330523	1588360387817
REQUEST	40		request_1	1588360387626	1588360388123	OK	 
REQUEST	24		request_2	1588360388146	1588360388168	OK	 
REQUEST	17		request_4	1588360388397	1588360388446	OK	 
REQUEST	19		request_3	1588360388114	1588360388492	OK	 
REQUEST	17		request_4 Redirect 1	1588360388447	1588360388524	OK	 
REQUEST	17		request_5	1588360388526	1588360388559	OK	 
REQUEST	19		request_3 Redirect 1	1588360388492	1588360388572	OK	 
REQUEST	17		solid.css	1588360388529	1588360388584	OK	 
REQUEST	17		bootstrap.min.css	1588360388528	1588360388709	OK	 
USER	RecordedSimulation	17	END	1588360331526	1588360388711
REQUEST	19		bootstrap.min.css	1588360388573	1588360388723	OK	 
REQUEST	19		solid.css	1588360388573	1588360388778	OK	 
REQUEST	18		request_4	1588360388723	1588360388781	OK	 
REQUEST	18		request_4 Redirect 1	1588360388781	1588360388866	OK	 
REQUEST	18		request_5	1588360388868	1588360388897	OK	 
REQUEST	18		solid.css	1588360388870	1588360388915	OK	 
REQUEST	18		bootstrap.min.css	1588360388869	1588360389057	OK	 
USER	RecordedSimulation	18	END	1588360332528	1588360389060
REQUEST	25		request_2	1588360389096	1588360389118	OK	 
REQUEST	20		request_3	1588360389138	1588360389345	OK	 
REQUEST	20		request_3 Redirect 1	1588360389345	1588360389412	OK	 
REQUEST	20		bootstrap.min.css	1588360389414	1588360389564	OK	 
REQUEST	20		solid.css	1588360389415	1588360389606	OK	 
REQUEST	19		request_4	1588360389784	1588360389835	OK	 
REQUEST	19		request_4 Redirect 1	1588360389835	1588360389912	OK	 
REQUEST	19		request_5	1588360389913	1588360389940	OK	 
REQUEST	19		solid.css	1588360389913	1588360389960	OK	 
REQUEST	41		request_1	1588360389623	1588360390020	OK	 
REQUEST	19		bootstrap.min.css	1588360389913	1588360390099	OK	 
USER	RecordedSimulation	19	END	1588360333517	1588360390101
REQUEST	20		request_4	1588360390598	1588360390652	OK	 
REQUEST	20		request_4 Redirect 1	1588360390653	1588360390715	OK	 
REQUEST	20		request_5	1588360390716	1588360390744	OK	 
REQUEST	20		solid.css	1588360390717	1588360390767	OK	 
REQUEST	20		bootstrap.min.css	1588360390716	1588360390915	OK	 
USER	RecordedSimulation	20	END	1588360334528	1588360390916
REQUEST	26		request_2	1588360391016	1588360391038	OK	 
REQUEST	42		request_1	1588360390619	1588360391094	OK	 
REQUEST	21		request_3	1588360391178	1588360391373	OK	 
REQUEST	21		request_3 Redirect 1	1588360391374	1588360391435	OK	 
REQUEST	21		bootstrap.min.css	1588360391437	1588360391623	OK	 
REQUEST	21		solid.css	1588360391437	1588360391635	OK	 
REQUEST	43		request_1	1588360391615	1588360391883	OK	 
REQUEST	27		request_2	1588360392119	1588360392139	OK	 
REQUEST	22		request_3	1588360392053	1588360392250	OK	 
REQUEST	22		request_3 Redirect 1	1588360392250	1588360392324	OK	 
REQUEST	22		solid.css	1588360392325	1588360392515	OK	 
REQUEST	22		bootstrap.min.css	1588360392325	1588360392521	OK	 
REQUEST	21		request_4	1588360392638	1588360392689	OK	 
REQUEST	21		request_4 Redirect 1	1588360392689	1588360392762	OK	 
REQUEST	21		request_5	1588360392763	1588360392790	OK	 
REQUEST	21		solid.css	1588360392763	1588360392814	OK	 
REQUEST	21		bootstrap.min.css	1588360392763	1588360392952	OK	 
USER	RecordedSimulation	21	END	1588360336524	1588360392953
REQUEST	28		request_2	1588360393133	1588360393152	OK	 
REQUEST	44		request_1	1588360392617	1588360393153	OK	 
REQUEST	23		request_3	1588360393133	1588360393388	OK	 
REQUEST	23		request_3 Redirect 1	1588360393389	1588360393449	OK	 
REQUEST	22		request_4	1588360393524	1588360393583	OK	 
REQUEST	23		bootstrap.min.css	1588360393450	1588360393917	OK	 
REQUEST	23		solid.css	1588360393450	1588360394040	OK	 
REQUEST	22		request_4 Redirect 1	1588360393583	1588360394051	OK	 
REQUEST	22		request_5	1588360394052	1588360394082	OK	 
REQUEST	45		request_1	1588360393613	1588360394083	OK	 
REQUEST	29		request_2	1588360394116	1588360394136	OK	 
REQUEST	22		solid.css	1588360394052	1588360394151	OK	 
REQUEST	22		bootstrap.min.css	1588360394052	1588360394282	OK	 
USER	RecordedSimulation	22	END	1588360337528	1588360394283
REQUEST	24		request_3	1588360394154	1588360394338	OK	 
REQUEST	24		request_3 Redirect 1	1588360394338	1588360394397	OK	 
REQUEST	24		bootstrap.min.css	1588360394398	1588360394536	OK	 
REQUEST	24		solid.css	1588360394399	1588360394635	OK	 
REQUEST	23		request_4	1588360395043	1588360395092	OK	 
REQUEST	30		request_2	1588360395128	1588360395150	OK	 
REQUEST	23		request_4 Redirect 1	1588360395093	1588360395156	OK	 
REQUEST	23		request_5	1588360395158	1588360395187	OK	 
REQUEST	23		solid.css	1588360395160	1588360395207	OK	 
REQUEST	25		request_3	1588360395118	1588360395326	OK	 
REQUEST	23		bootstrap.min.css	1588360395159	1588360395335	OK	 
USER	RecordedSimulation	23	END	1588360338513	1588360395337
REQUEST	25		request_3 Redirect 1	1588360395326	1588360395392	OK	 
REQUEST	25		bootstrap.min.css	1588360395393	1588360395542	OK	 
REQUEST	25		solid.css	1588360395394	1588360395585	OK	 
REQUEST	24		request_4	1588360395650	1588360395767	OK	 
REQUEST	24		request_4 Redirect 1	1588360395767	1588360395827	OK	 
REQUEST	24		request_5	1588360395828	1588360395858	OK	 
REQUEST	24		solid.css	1588360395828	1588360395877	OK	 
REQUEST	24		bootstrap.min.css	1588360395828	1588360396007	OK	 
USER	RecordedSimulation	24	END	1588360339529	1588360396008
REQUEST	46		request_1	1588360395628	1588360396130	OK	 
REQUEST	25		request_4	1588360396586	1588360396693	OK	 
REQUEST	25		request_4 Redirect 1	1588360396694	1588360396755	OK	 
REQUEST	25		request_5	1588360396756	1588360396783	OK	 
REQUEST	25		solid.css	1588360396756	1588360396804	OK	 
REQUEST	25		bootstrap.min.css	1588360396756	1588360396949	OK	 
USER	RecordedSimulation	25	END	1588360340515	1588360396951
REQUEST	47		request_1	1588360396617	1588360397085	OK	 
REQUEST	31		request_2	1588360397124	1588360397143	OK	 
REQUEST	26		request_3	1588360397045	1588360397294	OK	 
REQUEST	26		request_3 Redirect 1	1588360397294	1588360397391	OK	 
REQUEST	26		bootstrap.min.css	1588360397393	1588360397535	OK	 
REQUEST	26		solid.css	1588360397394	1588360397578	OK	 
REQUEST	32		request_2	1588360397903	1588360397923	OK	 
REQUEST	48		request_1	1588360397627	1588360398094	OK	 
REQUEST	27		request_3	1588360398145	1588360398388	OK	 
REQUEST	27		request_3 Redirect 1	1588360398388	1588360398449	OK	 
REQUEST	27		bootstrap.min.css	1588360398451	1588360398588	OK	 
REQUEST	26		request_4	1588360398573	1588360398623	OK	 
REQUEST	27		solid.css	1588360398452	1588360398641	OK	 
REQUEST	26		request_4 Redirect 1	1588360398623	1588360398692	OK	 
REQUEST	26		request_5	1588360398693	1588360398724	OK	 
REQUEST	26		solid.css	1588360398694	1588360398742	OK	 
REQUEST	26		bootstrap.min.css	1588360398694	1588360398881	OK	 
USER	RecordedSimulation	26	END	1588360342526	1588360398882
REQUEST	49		request_1	1588360398617	1588360399125	OK	 
REQUEST	33		request_2	1588360399118	1588360399137	OK	 
REQUEST	28		request_3	1588360399155	1588360399359	OK	 
REQUEST	28		request_3 Redirect 1	1588360399359	1588360399430	OK	 
REQUEST	28		bootstrap.min.css	1588360399431	1588360399574	OK	 
REQUEST	28		solid.css	1588360399432	1588360399615	OK	 
REQUEST	27		request_4	1588360399625	1588360399673	OK	 
REQUEST	27		request_4 Redirect 1	1588360399673	1588360399735	OK	 
REQUEST	27		request_5	1588360399735	1588360399764	OK	 
REQUEST	27		solid.css	1588360399736	1588360399785	OK	 
REQUEST	27		bootstrap.min.css	1588360399735	1588360399916	OK	 
USER	RecordedSimulation	27	END	1588360343524	1588360399917
